Name,Data
Ortalis_cinereiceps,TRUE
Ortalis_guttata,TRUE
Ortalis_canicollis,TRUE
Ortalis_superciliaris,FALSE
Ortalis_erythroptera,FALSE
Ortalis_motmot,TRUE
Ortalis_leucogastra,TRUE
Ortalis_vetula,TRUE
Talegalla_fuscirostris,TRUE
Talegalla_cuvieri,FALSE
Talegalla_jobiensis,FALSE
Aepypodius_arfakianus,TRUE
Aepypodius_bruijnii,FALSE
Alectura_lathami,TRUE
Leipoa_ocellata,TRUE
Macrocephalon_maleo,TRUE
Eulipoa_wallacei,TRUE
Megapodius_nicobariensis,FALSE
Megapodius_tenimberensis,TRUE
Megapodius_cumingii,TRUE
Megapodius_laperouse,FALSE
Megapodius_bernsteinii,FALSE
Megapodius_layardi,TRUE
Megapodius_pritchardii,TRUE
Megapodius_reinwardt,TRUE
Megapodius_freycinet,TRUE
Megapodius_affinis,TRUE
Megapodius_geelvinkianus,FALSE
Megapodius_eremita,TRUE
Chauna_chavaria,FALSE
Chauna_torquata,TRUE
Anhima_cornuta,TRUE
Anseranas_semipalmata,TRUE
Dendrocygna_eytoni,TRUE
Dendrocygna_guttata,TRUE
Dendrocygna_bicolor,TRUE
Dendrocygna_javanica,TRUE
Dendrocygna_viduata,TRUE
Dendrocygna_arcuata,TRUE
Dendrocygna_arborea,TRUE
Dendrocygna_autumnalis,TRUE
Thalassornis_leuconotus,TRUE
Cygnus_buccinator,TRUE
Cygnus_cygnus,TRUE
Cygnus_columbianus,TRUE
Cygnus_olor,TRUE
Cygnus_atratus,TRUE
Cygnus_melancoryphus,TRUE
Chen_canagica,TRUE
Chen_caerulescens,TRUE
Chen_rossii,TRUE
Anser_erythropus,TRUE
Anser_cygnoides,TRUE
Anser_anser,TRUE
Anser_brachyrhynchus,TRUE
Anser_indicus,TRUE
Anser_fabalis,TRUE
Anser_albifrons,TRUE
Branta_bernicla,TRUE
Branta_canadensis,TRUE
Branta_sandvicensis,TRUE
Branta_hutchinsii,TRUE
Branta_leucopsis,TRUE
Branta_ruficollis,TRUE
Cereopsis_novaehollandiae,TRUE
Coscoroba_coscoroba,TRUE
Malacorhynchus_membranaceus,TRUE
Heteronetta_atricapilla,TRUE
Biziura_lobata,TRUE
Anas_undulata,TRUE
Anas_melleri,TRUE
Anas_laysanensis,TRUE
Anas_rubripes,TRUE
Anas_fulvigula,TRUE
Anas_luzonica,TRUE
Anas_poecilorhyncha,TRUE
Anas_platyrhynchos,TRUE
Anas_superciliosa,TRUE
Anas_sparsa,TRUE
Anas_georgica,TRUE
Anas_acuta,TRUE
Anas_bahamensis,TRUE
Anas_erythrorhyncha,TRUE
Anas_capensis,TRUE
Anas_flavirostris,TRUE
Anas_crecca,TRUE
Anas_bernieri,TRUE
Anas_nesiotis,TRUE
Anas_aucklandica,TRUE
Anas_chlorotis,TRUE
Anas_gracilis,TRUE
Anas_castanea,TRUE
Anas_strepera,TRUE
Anas_falcata,TRUE
Anas_sibilatrix,TRUE
Anas_americana,TRUE
Anas_penelope,TRUE
Anas_formosa,TRUE
Anas_andium,FALSE
Anas_hottentota,TRUE
Anas_eatoni,FALSE
Anas_smithii,TRUE
Anas_clypeata,TRUE
Anas_rhynchotis,TRUE
Anas_wyvilliana,FALSE
Anas_discors,TRUE
Anas_cyanoptera,TRUE
Anas_platalea,TRUE
Anas_querquedula,TRUE
Anas_gibberifrons,FALSE
Anas_versicolor,TRUE
Anas_puna,TRUE
Speculanas_specularis,TRUE
Amazonetta_brasiliensis,TRUE
Lophonetta_specularioides,TRUE
Tachyeres_leucocephalus,TRUE
Tachyeres_patachonicus,TRUE
Tachyeres_brachypterus,TRUE
Tachyeres_pteneres,TRUE
Chenonetta_jubata,TRUE
Sarkidiornis_melanotos,TRUE
Hymenolaimus_malacorhynchos,TRUE
Histrionicus_histrionicus,TRUE
Polysticta_stelleri,TRUE
Somateria_mollissima,TRUE
Somateria_spectabilis,TRUE
Somateria_fischeri,TRUE
Clangula_hyemalis,TRUE
Melanitta_nigra,TRUE
Melanitta_perspicillata,TRUE
Melanitta_fusca,TRUE
Lophodytes_cucullatus,TRUE
Mergus_serrator,TRUE
Mergus_merganser,TRUE
Mergus_octosetaceus,FALSE
Mergus_squamatus,TRUE
Mergellus_albellus,TRUE
Bucephala_albeola,TRUE
Bucephala_clangula,TRUE
Bucephala_islandica,TRUE
Callonetta_leucophrys,TRUE
Aix_sponsa,TRUE
Aix_galericulata,TRUE
Cairina_moschata,TRUE
Alopochen_aegyptiaca,TRUE
Tadorna_variegata,TRUE
Tadorna_cana,TRUE
Tadorna_ferruginea,TRUE
Tadorna_tadornoides,TRUE
Tadorna_tadorna,TRUE
Tadorna_radjah,TRUE
Chloephaga_hybrida,FALSE
Chloephaga_picta,TRUE
Chloephaga_rubidiceps,FALSE
Salvadorina_waigiuensis,FALSE
Chloephaga_poliocephala,TRUE
Neochen_jubata,TRUE
Chloephaga_melanoptera,TRUE
Cairina_scutulata,TRUE
Aythya_australis,TRUE
Aythya_nyroca,TRUE
Aythya_baeri,FALSE
Aythya_affinis,TRUE
Aythya_marila,TRUE
Aythya_innotata,FALSE
Aythya_fuligula,TRUE
Aythya_valisineria,TRUE
Aythya_ferina,TRUE
Aythya_collaris,TRUE
Aythya_americana,TRUE
Aythya_novaeseelandiae,FALSE
Netta_rufina,TRUE
Netta_peposaca,TRUE
Netta_erythrophthalma,FALSE
Pteronetta_hartlaubii,TRUE
Cyanochen_cyanoptera,TRUE
Marmaronetta_angustirostris,TRUE
Merganetta_armata,TRUE
Stictonetta_naevosa,TRUE
