Genus,Species,Subspecies,Family,Order,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Cinnyris,notatus,notatus,Nectariniidae,Passeriformes,Long-billed Sunbird,Nectarinia_notata,TRUE,FALSE,Extant,Non-endemic,Endemic,FALSE
Cinnyris,sovimanga,"sovimanga, apolis",Nectariniidae,Passeriformes,Souimanga Sunbird,Nectarinia_sovimanga,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Circus,macrosceles,None,Accipitridae,Accipitriformes,Madagascar Marsh-harrier,Circus_macrosceles,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Cisticola,cherina,None,Cisticolidae,Passeriformes,Madagascar Cisticola,Cisticola_cherina,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Copsychus,albospecularis,"albospecularis, inexspectatus, pica",Muscicapidae,Passeriformes,Madagascar Magpie-robin,Copsychus_albospecularis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coracopsis,nigra,"nigra, libs",Psittacidae,Psittaciformes,Black Parrot,Coracopsis_nigra,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Coracopsis,vasa,None,Psittacidae,Psittaciformes,Vasa Parrot,Coracopsis_vasa,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Corvus,albus,None,Corvidae,Passeriformes,Pied Crow,Corvus_albus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Corythornis,madagascariensis,"dilutus, madagascariensis",Alcedinidae,Coraciiformes,Madagascar Pygmy-kingfisher,Ceyx_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Corythornis,vintsioides,vintsioides,Alcedinidae,Coraciiformes,Madagascar Kingfisher,Alcedo_vintsioides,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Coturnix,coturnix,None,Phasianidae,Galliformes,Common Quail,Coturnix_coturnix,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Coturnix,delegorguei,delegorguei,Phasianidae,Galliformes,Harlequin Quail,Coturnix_delegorguei,TRUE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Coua,berthae,None,Cuculidae,Cuculiformes,Bertha's Coua,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Coua,caerulea,None,Cuculidae,Cuculiformes,Blue Coua,Coua_caerulea,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coua,coquereli,None,Cuculidae,Cuculiformes,Coquerel's Coua,Coua_coquereli,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coua,cristata,"cristata, dumonti, pyropyga, maxima",Cuculidae,Cuculiformes,Crested Coua,Coua_cristata,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coua,cursor,None,Cuculidae,Cuculiformes,Running Coua,Coua_cursor,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coua,delalandei,None,Cuculidae,Cuculiformes,Snail-eating Coua,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Coua,gigas,None,Cuculidae,Cuculiformes,Giant Coua,Coua_gigas,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coua,primavea,None,Cuculidae,Cuculiformes,Ancient coua,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Coua,reynaudii,None,Cuculidae,Cuculiformes,Red-fronted Coua,Coua_reynaudii,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coua,ruficeps,"olivaceiceps, ruficeps",Cuculidae,Cuculiformes,Red-capped Coua,Coua_ruficeps,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coua,serriana,None,Cuculidae,Cuculiformes,Red-breasted Coua,Coua_serriana,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Coua,verreauxi,None,Cuculidae,Cuculiformes,Verreaux's Coua,Coua_verreauxi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Crossleyia,xanthophrys,None,Bernieridae,Passeriformes,Madagascar Yellowbrow,Crossleyia_xanthophrys,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Cryptosylvicola,randrianasoloi,None,Bernieridae,Passeriformes,Cryptic Warbler,Cryptosylvicola_randrianasoloi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Cuculus,rochii,None,Cuculidae,Cuculiformes,Madagascar Cuckoo,Cuculus_rochii,TRUE,TRUE,Extant,Breeding endemic,Non-endemic,TRUE
Cyanolanius,madagascarinus,madagascarinus,Vangidae,Passeriformes,Madagascar Blue Vanga,Cyanolanius_madagascarinus,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Cypsiurus,gracilis,gracilis,Apodidae,Caprimulgiformes,Madagascar Palm-swift,NA,FALSE,FALSE,Extant,Non-endemic,Endemic,FALSE
Cypsiurus,parvus,None,Apodidae,Caprimulgiformes,African palm swift,Cypsiurus_parvus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Daption,capense,None,Procellariidae,Procellariiformes,Cape Petrel,Daption_capense,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Delichon,urbicum,None,Hirundinidae,Passeriformes,Northern House Martin,Delichon_urbicum,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Dendrocygna,bicolor,None,Anatidae,Anseriformes,Fulvous Whistling-duck,Dendrocygna_bicolor,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Dendrocygna,viduata,None,Anatidae,Anseriformes,White-faced Whistling-duck,Dendrocygna_viduata,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Dicrurus,forficatus,forficatus,Dicruridae,Passeriformes,Crested Drongo,Dicrurus_forficatus,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Dromas,ardeola,None,Dromadidae,Charadriiformes,Crab-plover,Dromas_ardeola,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Dryolimnas,cuvieri,cuvieri,Rallidae,Gruiformes,White-throated Rail,Dryolimnas_cuvieri,TRUE,FALSE,Extant,Non-endemic,Endemic,FALSE
Egretta,ardesiaca,None,Ardeidae,Pelecaniformes,Black Heron,Egretta_ardesiaca,TRUE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Egretta,garzetta,dimorpha,Ardeidae,Pelecaniformes,Little Egret,Egretta_garzetta,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Eremopterix,hova,None,Alaudidae,Passeriformes,Madagascar Lark,Mirafra_hova,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Euryceros,prevostii,None,Vangidae,Passeriformes,Helmet Vanga,Euryceros_prevostii,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
