Genus,Species,Subspecies,Family,Order ,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Miniopterus,petersoni,None,Miniopteridae,Chiroptera,Peterson's long-fingered bat,Miniopterus_petersoni,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Miniopterus,sororculus,None,Miniopteridae,Chiroptera,Small sister long-fingered bat,Miniopterus_sororculus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Mops,leucostigma,None,Molossidae,Chiroptera,Malagasy large white-bellied free-tailed bat,Mops_leucostigma,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Mops,midas,miarensis,Molossidae,Chiroptera,Midas' free-tailed bat,Mops_midas,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Mormopterus,jugularis,None,Molossidae,Chiroptera,Peters'  goblin bat,Mormopterus_jugularis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Myotis,goudoti,None,Vespertilionidae,Chiroptera,Malagasy mouse-eared bat,Myotis_goudoti,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Myzopoda,aurita,None,Myzopodidae,Chiroptera,Eastern sucker-footed bat,Myzopoda_aurita,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Myzopoda,schliemanni,None,Myzopodidae,Chiroptera,Schliemann's sucker-footed bat,Myzopoda_schliemanni,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Neoromicia,bemainty,None,Vespertilionidae,Chiroptera,Dark Madagascar pipistrelle,Hypsugo_bemainty,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Otomops,madagascariensis,None,Molossidae,Chiroptera,Malagasy large-eared free-tailed bat,Otomops_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Paratriaenops,auritus,None,Hipposideridae,Chiroptera,Golden trident bat,Paratriaenops_auritus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Paratriaenops,furculus,None,Hipposideridae,Chiroptera,Trouessart's trident Bat,Paratriaenops_furculus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Paratriaenops,goodmani,None,Hipposideridae,Chiroptera,None,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Paremballonura,atrata,None,Emballonuridae,Chiroptera,Peters' sheath-tailed bat,Emballonura_atrata,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Paremballonura,tiavato,None,Emballonuridae,Chiroptera,Rock-dwelling sheath-tailed bat,Emballonura_tiavato,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Pipistrellus,hesperidus,None,Vespertilionidae,Chiroptera,Dusky pipistrelle,Pipistrellus_hesperidus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Pipistrellus,raceyi,None,Vespertilionidae,Chiroptera,Racey's pipistrelle,Pipistrellus_raceyi,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Pteropus,rufus,None,Pteropodidae,Chiroptera,Madagascar flying fox,Pteropus_rufus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Rousettus,madagascariensis,None,Pteropodidae,Chiroptera,Madagascar rousette,Rousettus_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Scotophilus,marovaza,None,Vespertilionidae,Chiroptera,Marovaza house bat,Scotophilus_marovaza,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Scotophilus,robustus,None,Vespertilionidae,Chiroptera,Malagasy large house bat,Scotophilus_robustus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Scotophilus,tandrefana,None,Vespertilionidae,Chiroptera,Malagasy western house bat,Scotophilus_tandrefana,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Tadarida,fulminans,None,Molossidae,Chiroptera,Malagasy free-tailed bat,Tadarida_fulminans,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Taphozous,mauritianus,None,Emballonuridae,Chiroptera,Mauritian tomb bat,Taphozous_mauritianus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Triaenops,menamena,None,Hipposideridae,Chiroptera,Rufous trident bat,Triaenops_menamena,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Allocebus,trichotis,None,Cheirogaleidae,Primates,Hairy-eared dwarf lemur,Allocebus_trichotis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Archaeoindris,fontoynontii,None,Palaeopropithecidae,Primates,Sloth lemur,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Archaeolemur,edwardsi,None,Archaeolemuridae,Primates,Monkey Lemur,Archaeolemur_edwardsi,TRUE,FALSE,Extinct,Endemic,Endemic,FALSE
Archaeolemur,majori,None,Archaeolemuridae,Primates,None,Archaeolemur_majori,TRUE,TRUE,Extinct,Endemic,Endemic,FALSE
Avahi,betsileo,None,Indriidae,Primates,Betsileo woolly lemur,Avahi_betsileo,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Avahi,cleesei,None,Indriidae,Primates,Cleese's bemaraha woolly lemur,Avahi_cleesei,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Avahi,laniger,None,Indriidae,Primates,Eastern woolly lemur,Avahi_laniger,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Avahi,meridionalis,None,Indriidae,Primates,Southern woolly lemur,Avahi_meridionalis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Avahi,mooreorum,None,Indriidae,Primates,Moore's Masoala woolly lemur ,Avahi_mooreorum,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Avahi,occidentalis,None,Indriidae,Primates,Lorenz Von Liburnau's western woolly lemur,Avahi_occidentalis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Avahi,peyrierasi,None,Indriidae,Primates,Peyrieras' woolly lemur,Avahi_peyrierasi,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Avahi,ramanantsoavanai,None,Indriidae,Primates,Ramantsoavana's southern woolly lemur,Avahi_ramanantsoavanai,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Avahi,unicolor,None,Indriidae,Primates,Sambirano woolly lemur,Avahi_unicolor,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Babakotia,radofilai,None,Palaeopropithecidae,Primates,None,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Cheirogaleus,andysabini,None,Cheirogaleidae,Primates,Montagne d'Ambre dwarf lemur,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,crossleyi,None,Cheirogaleidae,Primates,Crossley's dwarf lemur,Cheirogaleus_crossleyi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,grovesi,None,Cheirogaleidae,Primates,Grove's dwarf lemur,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,lavasoensis,None,Cheirogaleidae,Primates,Lavasoa dwarf lemur,Cheirogaleus_lavasoensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,major,None,Cheirogaleidae,Primates,Geoffroy's greater dwarf lemur,Cheirogaleus_major,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,medius,None,Cheirogaleidae,Primates,Western fat-tailed dwarf lemur,Cheirogaleus_medius,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,minusculus,None,Cheirogaleidae,Primates,Lesser Iron-gray dwarf lemur,Cheirogaleus_minusculus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,shethi,None,Cheirogaleidae,Primates,Sheth's Ankarana dwarf lemur,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,sibreei,None,Cheirogaleidae,Primates,Sibree's dwarf lemur,Cheirogaleus_sibreei,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Cheirogaleus,thomasi,None,Cheirogaleidae,Primates,Thomas' Dwarf Lemur,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Daubentonia,madagascariensis,None,Daubentoniidae,Primates,Aye-aye,Daubentonia_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Daubentonia,robusta,None,Daubentoniidae,Primates,Giant aye-aye,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Eulemur,albifrons,None,Lemuridae,Primates,White-fronted brown lemur,Eulemur_albifrons,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,cinereiceps,None,Lemuridae,Primates,White-collared lemur,Eulemur_cinereiceps,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,collaris,None,Lemuridae,Primates,Collared brown lemur,Eulemur_collaris,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,coronatus,None,Lemuridae,Primates,Crowned lemur,Eulemur_coronatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,flavifrons,None,Lemuridae,Primates,Sclater's Blue-eyed black lemur,Eulemur_flavifrons,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,fulvus,None,Lemuridae,Primates,Common brown lemur,Eulemur_fulvus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,macaco,None,Lemuridae,Primates,Black lemur,Eulemur_macaco,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,mongoz,None,Lemuridae,Primates,Mongoose lemur,Eulemur_mongoz,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,rubriventer,None,Lemuridae,Primates,Red-bellied lemur,Eulemur_rubriventer,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
