Genus;Species;Subspecies;Family;Order;Common_Name;Our_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species;DAISIE_Species_Status;Remove_Species
Boophis ;solomaso;NA;Mantellidae;Anura;None;Boophis_solomaso;Boophis_solomaso;TRUE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;spinophis;NA;Mantellidae;Anura;None;Boophis_spinophis;Boophis_spinophis;TRUE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;tampoka;NA;Mantellidae;Anura;None;Boophis_tampoka;Boophis_tampoka;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;tasymena;NA;Mantellidae;Anura;None;Boophis_tasymena;Boophis_tasymena;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;tephraeomystax;NA;Mantellidae;Anura;None;Boophis_tephraeomystax;Boophis_tephraeomystax;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;tsilomaro;NA;Mantellidae;Anura;None;Boophis_tsilomaro;Boophis_tsilomaro;TRUE;FALSE;Extant;Endemic;Endemic;FALSE
Boophis ;ulftunni;NA;Mantellidae;Anura;None;Boophis_ulftunni;Boophis_ulftunni;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;viridis;NA;Mantellidae;Anura;None;Boophis_viridis;Boophis_viridis;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;vittatus;NA;Mantellidae;Anura;None;Boophis_vittatus;Boophis_vittatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;williamsi;NA;Mantellidae;Anura;None;Boophis_williamsi;Boophis_williamsi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boophis ;xerophilus;NA;Mantellidae;Anura;None;Boophis_xerophilus;Boophis_xerophilus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Aglyptodactylus ;australis;NA;Mantellidae;Anura;None;Aglyptodactylus_australis;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Aglyptodactylus ;chorus;NA;Mantellidae;Anura;None;Aglyptodactylus_chorus;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Aglyptodactylus ;inguinalis;NA;Mantellidae;Anura;None;Aglyptodactylus_inguinalis;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Aglyptodactylus ;laticeps;NA;Mantellidae;Anura;None;Aglyptodactylus_laticeps;Aglyptodactylus_laticeps;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Aglyptodactylus ;madagascariensis;NA;Mantellidae;Anura;None;Aglyptodactylus_madagascariensis;Aglyptodactylus_madagascariensis;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Aglyptodactylus ;securifer;NA;Mantellidae;Anura;None;Aglyptodactylus_securifer;Aglyptodactylus_securifer;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Laliostoma ;labrosum;NA;Mantellidae;Anura;None;Laliostoma_labrosum;Laliostoma_labrosum;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;angolafa;NA;Mantellidae;Anura;None;Blommersia_angolafa;Blommersia_angolafa;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;blommersae;NA;Mantellidae;Anura;None;Blommersia_blommersae;Blommersia_blommersae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;dejongi;NA;Mantellidae;Anura;None;Blommersia_dejongi;Blommersia_dejongi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;domerguei;NA;Mantellidae;Anura;None;Blommersia_domerguei;Blommersia_domerguei;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;galani;NA;Mantellidae;Anura;None;Blommersia_galani;Blommersia_galani;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;grandisonae;NA;Mantellidae;Anura;None;Blommersia_grandisonae;Blommersia_grandisonae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;kely;NA;Mantellidae;Anura;None;Blommersia_kely;Blommersia_kely;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;sarotra;NA;Mantellidae;Anura;None;Blommersia_sarotra;Blommersia_sarotra;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;variabilis;NA;Mantellidae;Anura;None;Blommersia_variabilis;Blommersia_variabilis;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Blommersia ;wittei;NA;Mantellidae;Anura;None;Blommersia_wittei;Blommersia_wittei;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Boehmantis ;microtympanum;NA;Mantellidae;Anura;None;Boehmantis_microtympanum;Boehmantis_microtympanum;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;ambohitra;NA;Mantellidae;Anura;None;Gephyromantis_ambohitra;Gephyromantis_ambohitra;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;angano;NA;Mantellidae;Anura;None;Gephyromantis_angano;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;asper;NA;Mantellidae;Anura;None;Gephyromantis_asper;Gephyromantis_asper;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;atsingy;NA;Mantellidae;Anura;None;Gephyromantis_atsingy;Gephyromantis_atsingy;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;blanci;NA;Mantellidae;Anura;None;Gephyromantis_blanci;Gephyromantis_blanci;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;boulengeri;NA;Mantellidae;Anura;None;Gephyromantis_boulengeri;Gephyromantis_boulengeri;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;ceratophrys;NA;Mantellidae;Anura;None;Gephyromantis_ceratophrys;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;cornutus;NA;Mantellidae;Anura;None;Gephyromantis_cornutus;Gephyromantis_cornutus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;corvus;NA;Mantellidae;Anura;None;Gephyromantis_corvus;Gephyromantis_corvus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;decaryi;NA;Mantellidae;Anura;None;Gephyromantis_decaryi;Gephyromantis_decaryi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;eiselti;NA;Mantellidae;Anura;None;Gephyromantis_eiselti;Gephyromantis_eiselti;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;enki;NA;Mantellidae;Anura;None;Gephyromantis_enki;Gephyromantis_enki;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;granulatus;NA;Mantellidae;Anura;None;Gephyromantis_granulatus;Gephyromantis_granulatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;grosjeani;NA;Mantellidae;Anura;None;Gephyromantis_grosjeani;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;hintelmannae;NA;Mantellidae;Anura;None;Gephyromantis_hintelmannae;Gephyromantis_hintelmannae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;horridus;NA;Mantellidae;Anura;Boettger's Grainy Frog;Gephyromantis_horridus;Gephyromantis_horridus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;kintana;NA;Mantellidae;Anura;None;Gephyromantis_kintana;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;klemmeri;NA;Mantellidae;Anura;Klemmer's Madagascar Frog;Gephyromantis_klemmeri;Gephyromantis_klemmeri;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;leucocephalus;NA;Mantellidae;Anura;None;Gephyromantis_leucocephalus;Gephyromantis_leucocephalus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;leucomaculatus;NA;Mantellidae;Anura;None;Gephyromantis_leucomaculatus;Gephyromantis_leucomaculatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;lomorina;NA;Mantellidae;Anura;None;Gephyromantis_lomorina;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;luteus;NA;Mantellidae;Anura;None;Gephyromantis_luteus;Gephyromantis_luteus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;mafy;NA;Mantellidae;Anura;None;Gephyromantis_mafy;Gephyromantis_mafy;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;malagasius;NA;Mantellidae;Anura;None;Gephyromantis_malagasius;Gephyromantis_malagasius;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;moseri;NA;Mantellidae;Anura;None;Gephyromantis_moseri;Gephyromantis_moseri;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;pedronoi;NA;Mantellidae;Anura;None;Gephyromantis_pedronoi;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;plicifer;NA;Mantellidae;Anura;None;Gephyromantis_plicifer;Gephyromantis_plicifer;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;pseudoasper;NA;Mantellidae;Anura;None;Gephyromantis_pseudoasper;Gephyromantis_pseudoasper;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;ranjomavo;NA;Mantellidae;Anura;None;Gephyromantis_ranjomavo;Gephyromantis_ranjomavo;TRUE;FALSE;Extant;Endemic;Endemic;FALSE
