Name,Genes,Length
Cyrtodactylus hontreensis,2,2046
Cyrtodactylus hoskini,1,1011
Cyrtodactylus huongsonensis,0,0
Cyrtodactylus huynhi,1,549
Cyrtodactylus ingeri,0,0
Cyrtodactylus interdigitalis,3,2331
Cyrtodactylus intermedius,6,3812
Cyrtodactylus irianjayaensis,0,0
Cyrtodactylus irregularis,6,3810
Cyrtodactylus jaegeri,0,0
Cyrtodactylus jambangan,1,1008
Cyrtodactylus jarakensis,0,0
Cyrtodactylus jarujini,5,3114
Cyrtodactylus jelawangensis,1,933
Cyrtodactylus jellesmae,3,2442
Cyrtodactylus jeyporensis,3,2430
Cyrtodactylus khasiensis,6,3266
Cyrtodactylus khelangensis,0,0
Cyrtodactylus kimberleyensis,3,2403
Cyrtodactylus kingsadai,1,657
Cyrtodactylus klugei,1,1011
Cyrtodactylus kunyai,0,0
Cyrtodactylus laevigatus,0,0
Cyrtodactylus langkawiensis,1,1008
Cyrtodactylus lateralis,0,0
Cyrtodactylus leegrismeri,0,0
Cyrtodactylus lekaguli,0,0
Cyrtodactylus lomyenensis,1,657
Cyrtodactylus loriae,5,3027
Cyrtodactylus louisiadensis,1,1011
Cyrtodactylus macrotuberculatus,3,2061
Cyrtodactylus majulah,1,1011
Cyrtodactylus malayanus,3,2442
Cyrtodactylus malcolmsmithi,0,0
Cyrtodactylus mamanwa,0,0
Cyrtodactylus mandalayensis,0,0
Cyrtodactylus markuscombaii,0,0
Cyrtodactylus marmoratus,4,3768
Cyrtodactylus martini,0,0
Cyrtodactylus martinstolli,0,0
Cyrtodactylus matsuii,0,0
Cyrtodactylus mcdonaldi,1,1011
Cyrtodactylus medioclivus,1,1011
Cyrtodactylus metropolis,0,0
Cyrtodactylus mimikanus,1,1002
Cyrtodactylus minor,0,0
Cyrtodactylus murua,0,0
Cyrtodactylus nebulosus,3,2427
Cyrtodactylus nepalensis,0,0
Cyrtodactylus nigriocularis,1,549
Cyrtodactylus novaeguineae,5,3153
Cyrtodactylus nuaulu,0,0
Cyrtodactylus oldhami,4,3011
Cyrtodactylus pageli,2,1208
Cyrtodactylus pantiensis,3,1884
Cyrtodactylus papilionoides,0,0
Cyrtodactylus papuensis,1,987
Cyrtodactylus paradoxus,4,2721
Cyrtodactylus payacola,1,1011
Cyrtodactylus peguensis,1,1008
Cyrtodactylus philippinicus,5,3156
Cyrtodactylus phongnhakebangensis,2,1152
Cyrtodactylus phuketensis,0,0
Cyrtodactylus phuocbinhensis,0,0
Cyrtodactylus phuquocensis,0,0
Cyrtodactylus pronarus,1,1011
Cyrtodactylus pseudoquadrivirgatus,2,1127
Cyrtodactylus pubisulcus,4,3060
Cyrtodactylus puhuensis,0,0
Cyrtodactylus pulchellus,6,4192
Cyrtodactylus quadrivirgatus,4,3096
Cyrtodactylus ramboda,0,0
Cyrtodactylus redimiculus,1,1008
Cyrtodactylus robustus,3,2442
Cyrtodactylus roesleri,2,1154
Cyrtodactylus rubidus,1,1011
Cyrtodactylus russelli,2,2040
Cyrtodactylus sadleiri,1,1005
Cyrtodactylus saiyok,0,0
Cyrtodactylus salomonensis,3,2439
Cyrtodactylus samroiyot,0,0
Cyrtodactylus sanook,0,0
Cyrtodactylus semenanjungensis,3,1989
Cyrtodactylus semiadii,0,0
Cyrtodactylus seribuatensis,3,2439
Cyrtodactylus sermowaiensis,3,2433
Cyrtodactylus serratus,0,0
Cyrtodactylus sharkari,1,1008
Cyrtodactylus slowinskii,2,2052
Cyrtodactylus soba,0,0
Cyrtodactylus spinosus,0,0
Cyrtodactylus stresemanni,0,0
Cyrtodactylus subsolanus,0,0
Cyrtodactylus sumonthai,0,0
Cyrtodactylus sumuroi,0,0
Cyrtodactylus surin,0,0
Cyrtodactylus sworderi,3,2415
Cyrtodactylus takouensis,1,549
Cyrtodactylus tamaiensis,0,0
Cyrtodactylus tautbatorum,1,1011
Cyrtodactylus taynguyenensis,0,0
Cyrtodactylus tebuensis,1,1008
Cyrtodactylus teyniei,1,657
Cyrtodactylus thirakhupti,0,0
Cyrtodactylus thochuensis,0,0
Cyrtodactylus thuongae,0,0
Cyrtodactylus tibetanus,2,870
Cyrtodactylus tigroides,3,2424
Cyrtodactylus timur,1,1008
Cyrtodactylus tiomanensis,3,2361
Cyrtodactylus triedrus,6,4058
Cyrtodactylus trilatofasciatus,1,1008
Cyrtodactylus tripartitus,1,1011
Cyrtodactylus tuberculatus,3,2442
Cyrtodactylus variegatus,0,0
Cyrtodactylus vilaphongi,1,657
Cyrtodactylus wakeorum,0,0
Cyrtodactylus wallacei,0,0
Cyrtodactylus wangkulangkulae,0,0
Cyrtodactylus wayakonei,4,1926
Cyrtodactylus wetariensis,0,0
Cyrtodactylus yakhuna,0,0
Cyrtodactylus yangbayensis,1,657
Cyrtodactylus yoshii,3,2442
Cyrtodactylus zhaoermii,0,0
Cyrtodactylus ziegleri,2,1210
Cyrtodactylus zugi,1,1011
Cyrtopodion agamuroides,2,701
Cyrtopodion aravallensis,4,2745
Cyrtopodion baigii,0,0
Cyrtopodion belaense,0,0
Cyrtopodion brevipes,0,0
Cyrtopodion dattanense,0,0
Cyrtopodion fortmunroi,0,0
Cyrtopodion gastrophole,2,702
Cyrtopodion golubevi,0,0
Cyrtopodion hormozganum,0,0
Cyrtopodion indusoani,0,0
Cyrtopodion kachhense,6,3264
Cyrtopodion kiabii,0,0
Cyrtopodion kirmanense,0,0
Cyrtopodion kohsulaimanai,1,906
Cyrtopodion mansarulus,4,2694
Cyrtopodion medogense,0,0
Cyrtopodion montiumsalsorum,0,0
Cyrtopodion persepolense,0,0
Cyrtopodion potoharense,0,0
Cyrtopodion rhodocauda,0,0
Cyrtopodion rohtasfortai,3,2436
Cyrtopodion scabrum,9,4610
Cyrtopodion sistanense,2,697
Cyrtopodion watsoni,0,0
Cyrtopodion battalense,3,2433
Cyrtopodion himalayanum,3,1950
Cyrtopodion lawderanum,3,1944
Hemidactylus aaronbaueri,4,2089
Hemidactylus acanthopholis,0,0
Hemidactylus agrius,2,678
Hemidactylus albituberculatus,0,0
Hemidactylus albivertebralis,0,0
Hemidactylus albofasciatus,3,1608
Hemidactylus albopunctatus,5,2674
Hemidactylus alkiyumii,6,3883
Hemidactylus anamallensis,4,2190
Hemidactylus angulatus,8,5401
Hemidactylus ansorgii,0,0
Hemidactylus aporus,0,0
Hemidactylus aquilonius,0,0
Hemidactylus arnoldi,0,0
Hemidactylus barbierii,0,0
Hemidactylus barodanus,5,2504
Hemidactylus bavazzanoi,0,0
Hemidactylus bayonii,0,0
Hemidactylus beninensis,0,0
Hemidactylus biokoensis,0,0
Hemidactylus bouvieri,4,1777
Hemidactylus bowringii,9,7658
Hemidactylus brasilianus,8,4004
Hemidactylus brookii,10,5220
Hemidactylus citernii,6,3845
Hemidactylus coalescens,0,0
Hemidactylus craspedotus,4,2682
Hemidactylus curlei,0,0
Hemidactylus dawudazraqi,6,3852
Hemidactylus depressus,4,2682
Hemidactylus dracaenacolus,5,1990
Hemidactylus echinus,0,0
Hemidactylus endophis,0,0
Hemidactylus eniangii,0,0
Hemidactylus fasciatus,8,4571
Hemidactylus festivus,6,3892
Hemidactylus flaviviridis,9,5546
Hemidactylus forbesii,4,1582
Hemidactylus foudaii,6,3092
Hemidactylus frenatus,12,10998
Hemidactylus funaiolii,5,2547
Hemidactylus garnotii,6,3400
Hemidactylus giganteus,6,3410
Hemidactylus gleadowi,0,0
Hemidactylus gracilis,5,3033
Hemidactylus granchii,4,2875
Hemidactylus graniticolus,0,0
Hemidactylus granosus,5,2468
Hemidactylus granti,5,1990
Hemidactylus greeffii,8,4131
Hemidactylus gujaratensis,0,0
Hemidactylus hajarensis,6,3876
Hemidactylus homoeolepis,6,3880
Hemidactylus hunae,4,2475
Hemidactylus imbricatus,2,723
Hemidactylus inexpectatus,5,2042
Hemidactylus inintellectus,5,1963
Hemidactylus isolepis,5,2554
Hemidactylus ituriensis,0,0
Hemidactylus jubensis,0,0
Hemidactylus jumailiae,5,3296
Hemidactylus kamdemtohami,0,0
Hemidactylus karenorum,6,3396
Hemidactylus klauberi,0,0
Hemidactylus kundaensis,0,0
Hemidactylus kushmorensis,0,0
Hemidactylus kyaboboensis,0,0
Hemidactylus laevis,0,0
Hemidactylus lamaensis,0,0
Hemidactylus lankae,4,2655
Hemidactylus laticaudatus,0,0
Hemidactylus lavadeserticus,4,2901
Hemidactylus lemurinus,6,3886
Hemidactylus leschenaultii,5,3046
Hemidactylus longicephalus,7,3728
Hemidactylus lopezjuradoi,3,1541
Hemidactylus luqueorum,5,2075
Hemidactylus mabouia,10,6572
Hemidactylus macropholis,8,4485
Hemidactylus maculatus,5,2858
Hemidactylus makolowodei,0,0
Hemidactylus masirahensis,5,2042
Hemidactylus matschiei,0,0
Hemidactylus megalops,0,0
Hemidactylus mercatorius,5,3486
Hemidactylus mindiae,4,2903
Hemidactylus minutus,0,0
Hemidactylus modestus,4,1478
Hemidactylus mrimaensis,0,0
Hemidactylus muriceus,0,0
Hemidactylus newtoni,1,294
Hemidactylus ophiolepis,5,2687
Hemidactylus ophiolepoides,0,0
Hemidactylus oxyrhinus,5,1983
Hemidactylus palaichthus,8,4133
Hemidactylus parvimaculatus,5,3342
Hemidactylus paucituberculatus,5,2079
Hemidactylus persicus,8,5148
Hemidactylus pieresii,0,0
Hemidactylus platycephalus,8,4785
Hemidactylus platyurus,8,4124
Hemidactylus prashadi,5,3058
Hemidactylus principensis,0,0
Hemidactylus pseudomuriceus,0,0
Hemidactylus puccionii,0,0
Hemidactylus pumilio,5,1989
Hemidactylus reticulatus,3,1082
Hemidactylus richardsonii,0,0
Hemidactylus robustus,8,5309
Hemidactylus romeshkanicus,0,0
Hemidactylus ruspolii,4,2280
Hemidactylus saba,5,2476
Hemidactylus sataraensis,2,651
Hemidactylus scabriceps,0,0
Hemidactylus shihraensis,5,3301
Hemidactylus sinaitus,5,3290
Hemidactylus smithi,5,2562
Hemidactylus somalicus,0,0
Hemidactylus squamulatus,4,2255
Hemidactylus stejnegeri,0,0
Hemidactylus tanganicus,0,0
Hemidactylus tasmani,0,0
Hemidactylus taylori,0,0
Hemidactylus tenkatei,0,0
Hemidactylus thayene,0,0
Hemidactylus treutleri,0,0
Hemidactylus triedrus,7,3819
Hemidactylus tropidolepis,0,0
Hemidactylus turcicus,9,6066
Hemidactylus ulii,4,2213
Hemidactylus vietnamensis,0,0
Hemidactylus yerburii,5,3308
Mediodactylus amictopholis,0,0
Mediodactylus aspratilis,0,0
Mediodactylus brachykolon,3,2343
Mediodactylus heterocercus,1,390
Mediodactylus heteropholis,2,693
Mediodactylus ilamensis,0,0
Mediodactylus kotschyi,5,3001
Mediodactylus narynensis,0,0
Mediodactylus russowii,6,3568
Mediodactylus sagittifer,2,695
Mediodactylus spinicauda,5,2970
Mediodactylus stevenandersoni,0,0
Mediodactylus walli,0,0
Pseudoceramodactylus khobarensis,6,3303
Rhinogecko femoralis,0,0
Rhinogecko misonnei,0,0
Stenodactylus affinis,4,1834
Stenodactylus arabicus,6,3485
Stenodactylus doriae,8,4506
Stenodactylus grandiceps,4,1835
Stenodactylus leptocosymbotes,6,3464
Stenodactylus mauritanicus,4,1824
Stenodactylus petrii,12,10192
Stenodactylus pulcher,4,1827
Stenodactylus sharqiyahensis,2,909
Stenodactylus slevini,6,3238
Stenodactylus stenurus,4,1837
Stenodactylus sthenodactylus,8,4464
Stenodactylus yemenensis,6,3467
Tenuidactylus bogdanovi,0,0
Tenuidactylus caspius,7,3849
Tenuidactylus dadunensis,0,0
Tenuidactylus elongatus,5,3208
Tenuidactylus fedtschenkoi,3,2445
Tenuidactylus longipes,7,3757
Tenuidactylus turcmenicus,0,0
Tenuidactylus voraginosus,0,0
Tropiocolotes algericus,4,1609
Tropiocolotes bisharicus,0,0
Tropiocolotes nattereri,3,1301
Tropiocolotes naybandensis,0,0
Tropiocolotes nubicus,7,4141
Tropiocolotes scortecci,3,1187
Tropiocolotes somalicus,2,1629
Tropiocolotes steudneri,11,8766
Tropiocolotes tripolitanus,11,8468
Tropiocolotes wolfgangboehmei,0,0
Broadleysaurus major,11,9259
Cordylosaurus subtessellatus,11,7596
Gerrhosaurus auritus,0,0
Gerrhosaurus bulsi,3,1735
Gerrhosaurus flavigularis,7,3782
Gerrhosaurus multilineatus,5,2146
Gerrhosaurus nigrolineatus,9,6523
Gerrhosaurus skoogi,5,2140
Gerrhosaurus typicus,4,2110
Matobosaurus maltzahni,1,502
Matobosaurus validus,7,4860
Tetradactylus africanus,0,0
Tetradactylus breyeri,0,0
Tetradactylus eastwoodae,0,0
Tetradactylus ellenbergeri,0,0
Tetradactylus seps,5,2650
Tetradactylus tetradactylus,5,2143
Tetradactylus udzungwensis,0,0
Tracheloptychus madagascariensis,11,6808
Tracheloptychus petersi,13,7286
Zonosaurus aeneus,9,4754
Zonosaurus anelanelany,7,3675
Zonosaurus bemaraha,9,4799
Zonosaurus boettgeri,3,1956
Zonosaurus brygooi,9,4767
Zonosaurus haraldmeieri,9,4790
Zonosaurus karsteni,8,4191
Zonosaurus laticaudatus,11,5709
Zonosaurus madagascariensis,11,6943
Zonosaurus maramaintso,0,0
Zonosaurus maximus,8,3628
Zonosaurus ornatus,14,8389
Zonosaurus quadrilineatus,9,4775
Zonosaurus rufipes,9,4761
Zonosaurus subunicolor,9,4798
Zonosaurus trilineatus,8,4228
Zonosaurus tsingy,9,4880
Alopoglossus angulatus,6,4099
Alopoglossus atriventris,4,1904
Alopoglossus buckleyi,1,594
Alopoglossus copii,4,1912
Alopoglossus festae,1,594
Alopoglossus lehmanni,0,0
Alopoglossus viridiceps,1,594
Ptychoglossus bicolor,0,0
Ptychoglossus bilineatus,0,0
Ptychoglossus brevifrontalis,4,1997
Ptychoglossus danieli,0,0
Ptychoglossus eurylepis,0,0
Ptychoglossus festae,0,0
Ptychoglossus gorgonae,0,0
Ptychoglossus grandisquamatus,0,0
Ptychoglossus kugleri,0,0
Ptychoglossus myersi,0,0
Ptychoglossus nicefori,0,0
Ptychoglossus plicatus,0,0
Ptychoglossus romaleos,0,0
Ptychoglossus stenolepis,0,0
Ptychoglossus vallensis,0,0
Riolama leucosticta,2,1179
Riolama luridiventris,0,0
Riolama uzzelli,0,0
Bachia barbouri,3,1176
Bachia bicolor,2,785
Bachia bresslaui,3,1525
Bachia cacerensis,0,0
Bachia didactyla,0,0
Bachia dorbignyi,3,1551
Bachia flavescens,5,2597
Bachia geralista,0,0
Bachia guianensis,0,0
Bachia heteropa,3,1174
Bachia huallagana,3,1173
Bachia intermedia,3,1177
Bachia micromela,0,0
Bachia oxyrhina,0,0
Bachia pallidiceps,0,0
Bachia panoplia,3,1176
Bachia peruana,3,1174
Bachia psamophila,0,0
Bachia pyburni,0,0
Bachia scaea,3,1203
Bachia scolecoides,3,1173
Bachia talpa,0,0
Bachia trisanale,3,1172
Anadia altaserrania,0,0
Anadia antioquensis,0,0
Anadia bitaeniata,0,0
Anadia blakei,0,0
Anadia bogotensis,0,0
Anadia brevifrontalis,0,0
Anadia bumanguesa,0,0
Anadia escalerae,0,0
Anadia hobarti,0,0
Anadia marmorata,0,0
Anadia mcdiarmidi,2,1208
Anadia ocellata,0,0
Anadia pamplonensis,0,0
Anadia pariaensis,0,0
Anadia petersi,0,0
Anadia pulchella,0,0
Anadia rhombifera,0,0
Anadia steyeri,0,0
Anadia vittata,0,0
Cercosaura argulus,4,1940
Cercosaura dicra,0,0
Cercosaura eigenmanni,4,1953
Cercosaura hypnoides,0,0
Cercosaura manicata,0,0
Cercosaura nigroventris,0,0
Cercosaura ocellata,5,2625
Cercosaura parkeri,0,0
Cercosaura phelpsorum,0,0
Cercosaura quadrilineata,4,1956
Cercosaura schreibersii,4,1943
Cercosaura steyeri,0,0
Cercosaura vertebralis,0,0
Echinosaura brachycephala,0,0
Echinosaura horrida,0,0
Echinosaura orcesi,0,0
Echinosaura palmeri,0,0
Echinosaura panamensis,0,0
Echinosaura sulcarostrum,0,0
Euspondylus acutirostris,0,0
Euspondylus auyanensis,0,0
Euspondylus caideni,0,0
Euspondylus guentheri,0,0
Euspondylus josyi,0,0
Euspondylus maculatus,0,0
Euspondylus monsfumus,0,0
Euspondylus nellycarrillae,0,0
Euspondylus oreades,0,0
Euspondylus rahmi,0,0
Euspondylus simonsii,0,0
Euspondylus spinalis,0,0
Macropholidus annectens,3,1542
Macropholidus ataktolepis,0,0
Macropholidus huancabambae,3,1329
Macropholidus ruthveni,3,1540
Neusticurus bicarinatus,3,1326
Neusticurus medemi,0,0
Neusticurus racenisi,0,0
Neusticurus rudis,3,1540
Neusticurus tatei,0,0
Petracola labioocularis,0,0
Petracola ventrimaculatus,4,1959
Petracola waka,0,0
Pholidobolus affinis,3,1545
Pholidobolus anomalus,0,0
Pholidobolus hillisi,3,1477
Pholidobolus macbrydei,10,6279
Pholidobolus montium,4,2012
Pholidobolus prefrontalis,3,1542
Placosoma cipoense,0,0
Placosoma cordylinum,4,1951
Placosoma glabellum,4,1919
Potamites apodemus,0,0
Potamites cochranae,0,0
Potamites ecpleopus,4,1875
Potamites erythrocularis,0,0
Potamites flavogularis,0,0
Potamites juruazensis,4,1937
Potamites montanicola,0,0
Potamites ocellatus,0,0
Potamites strangulatus,3,1563
Proctoporus bolivianus,4,2012
Proctoporus carabaya,0,0
Proctoporus cephalolineatus,0,0
Proctoporus chasqui,4,1944
Proctoporus guentheri,4,1997
Proctoporus iridescens,0,0
Proctoporus kiziriani,0,0
Proctoporus lacertus,0,0
Proctoporus pachyurus,4,2011
Proctoporus sucullucu,4,2026
Proctoporus unsaacae,4,2227
Proctoporus xestus,4,1940
Riama achlyens,0,0
Riama afrania,0,0
Riama anatoloros,0,0
Riama aurea,0,0
Riama balneator,0,0
Riama cashcaensis,4,1950
Riama colomaromani,4,2015
Riama columbiana,0,0
Riama crypta,0,0
Riama hyposticta,0,0
Riama inanis,0,0
Riama kiziriani,0,0
Riama labionis,4,1911
Riama laevis,0,0
Riama laudahnae,0,0
Riama luctuosa,0,0
Riama meleagris,4,1911
Riama oculata,0,0
Riama orcesi,3,1621
Riama petrorum,0,0
Riama raneyi,0,0
Riama rhodogaster,0,0
Riama shrevei,0,0
Riama simotera,4,1962
Riama stellae,0,0
Riama stigmatoral,4,1909
Riama striata,0,0
Riama unicolor,4,2001
Riama vespertina,0,0
Riama vieta,0,0
Riama yumborum,0,0
Teuchocercus keyi,0,0
Adercosaurus vixadnexus,0,0
Amapasaurus tetradactylus,0,0
Anotosaura collaris,4,1943
Anotosaura vanzolinia,4,1896
Arthrosaura guianensis,2,1218
Arthrosaura hoogmoedi,2,1213
Arthrosaura kockii,7,4291
Arthrosaura montigena,0,0
Arthrosaura reticulata,3,1562
Arthrosaura synaptolepis,0,0
Arthrosaura testigensis,0,0
Arthrosaura tyleri,0,0
Arthrosaura versteegii,0,0
Colobosauroides carvalhoi,0,0
Colobosauroides cearensis,5,2288
Dryadosaura nordestina,3,1542
Ecpleopus gaudichaudii,4,1945
Kaieteurosaurus hindsi,2,1181
Leposoma caparensis,0,0
Leposoma ferreirai,0,0
Leposoma guianense,6,2997
Leposoma hexalepis,2,1214
Leposoma ioanna,0,0
Leposoma osvaldoi,5,2300
Leposoma parietale,7,5646
Leposoma percarinatum,6,3008
Leposoma rugiceps,0,0
Leposoma snethlageae,0,0
Leposoma southi,4,1673
Leposoma annectans,4,1741
Leposoma baturitensis,4,1786
Leposoma nanodactylus,4,1789
Leposoma puk,4,1600
Leposoma scincoides,5,3298
Leposoma sinepollex,2,966
Marinussaurus curupira,4,1758
Pantepuisaurus rodriguesi,2,1221
Acratosaura mentalis,5,2625
Acratosaura spinosa,0,0
Alexandresaurus camacan,1,525
Calyptommatus confusionibus,3,914
Calyptommatus leiolepis,5,2185
Calyptommatus nicterus,5,2148
Calyptommatus sinebrachiatus,5,2171
Caparaonia itaiquara,4,2197
Colobodactylus dalcyanus,5,2553
Colobodactylus taunayi,4,2057
Colobosaura modesta,10,6119
Gymnophthalmus cryptus,2,1743
Gymnophthalmus leucomystax,4,2681
Gymnophthalmus lineatus,0,0
Gymnophthalmus pleei,2,1700
Gymnophthalmus speciosus,2,1738
Gymnophthalmus underwoodi,3,2259
Gymnophthalmus vanzoi,4,1914
Heterodactylus imbricatus,5,2493
Heterodactylus lundii,0,0
Heterodactylus septentrionalis,0,0
Iphisa elegans,5,3524
Micrablepharus atticolus,5,2663
Micrablepharus maximiliani,4,1930
Nothobachia ablephara,5,2205
Procellosaurinus erythrocercus,5,2169
Procellosaurinus tetradactylus,4,1920
Psilophthalmus paeminosus,4,1946
Scriptosaura catimbau,0,0
Stenolepis ridleyi,5,2429
Tretioscincus agilis,4,1940
Tretioscincus bifasciatus,0,0
Tretioscincus oriximinensis,4,2705
Vanzosaura multiscutatus,0,0
Vanzosaura rubricauda,4,1564
Vanzosaura savanicola,0,0
Rhachisaurus brachylepis,4,1964
Heloderma horridum,10,6621
Heloderma suspectum,17,15110
Enyalioides azulae,2,1092
Enyalioides binzayedi,2,1092
Enyalioides cofanorum,2,1092
Enyalioides heterolepis,4,2775
Enyalioides laticeps,9,7510
Enyalioides microlepis,4,2775
Enyalioides oshaughnessyi,4,2775
Enyalioides palpebralis,4,2775
Enyalioides praestabilis,4,2775
Enyalioides rubrigularis,2,1092
Enyalioides rudolfarndti,2,1092
Enyalioides touzeti,0,0
Hoplocercus spinosus,4,4539
Morunasaurus annularis,8,6867
Morunasaurus groi,0,0
Morunasaurus peruvianus,0,0
Amblyrhynchus cristatus,2,1563
Brachylophus bulabula,0,0
Brachylophus fasciatus,10,6432
Brachylophus vitiensis,1,315
Conolophus marthae,1,1059
Conolophus pallidus,4,2541
Conolophus subcristatus,4,2424
Ctenosaura acanthura,1,558
Ctenosaura alfredschmidti,0,0
Ctenosaura bakeri,3,1866
Ctenosaura clarki,0,0
Ctenosaura conspicuosa,0,0
Ctenosaura defensor,0,0
Ctenosaura flavidorsalis,1,447
Ctenosaura hemilopha,2,1653
Ctenosaura macrolopha,0,0
Ctenosaura melanosterna,3,2019
Ctenosaura nolascensis,0,0
Ctenosaura oaxacana,1,447
Ctenosaura oedirhina,3,1872
Ctenosaura palearis,5,3147
Ctenosaura pectinata,2,1515
Ctenosaura praeocularis,0,0
Ctenosaura quinquecarinata,1,447
Ctenosaura similis,3,2055
Cyclura carinata,3,1509
Cyclura collei,1,696
Cyclura cornuta,2,1152
Cyclura cychlura,2,1110
Cyclura lewisi,0,0
Cyclura nubila,9,5445
Cyclura pinguis,10,10236
Cyclura ricordi,3,1557
Cyclura rileyi,1,696
Dipsosaurus dorsalis,12,9794
Iguana delicatissima,3,1557
Iguana iguana,9,9085
Sauromalus ater,11,8910
Sauromalus hispidus,1,900
Sauromalus klauberi,3,1482
Sauromalus slevini,0,0
Sauromalus varius,2,1596
Gallotia atlantica,8,5090
Gallotia auaritae,0,0
Gallotia bravoana,3,1239
Gallotia caesaris,5,2147
Gallotia galloti,8,6596
Gallotia intermedia,4,1550
Gallotia simonyi,5,1948
Gallotia stehlini,7,4220
Psammodromus algirus,9,8165
Psammodromus blanci,3,1072
Psammodromus hispanicus,6,3425
Psammodromus microdactylus,0,0
Psammodromus occidentalis,2,1080
Acanthodactylus aegyptius,0,0
Acanthodactylus ahmaddisii,0,0
Acanthodactylus arabicus,0,0
Acanthodactylus aureus,2,689
Acanthodactylus bedriagai,2,872
Acanthodactylus beershebensis,2,883
Acanthodactylus blanci,2,872
Acanthodactylus blanfordii,5,2315
Acanthodactylus boskianus,6,3830
Acanthodactylus boueti,0,0
Acanthodactylus busacki,2,865
Acanthodactylus cantoris,4,1688
Acanthodactylus dumerilii,0,0
Acanthodactylus erythrurus,6,5990
Acanthodactylus felicis,3,1306
Acanthodactylus gongrorhynchatus,3,982
Acanthodactylus grandis,3,1539
Acanthodactylus guineensis,0,0
Acanthodactylus haasi,0,0
Acanthodactylus hardyi,0,0
Acanthodactylus harranensis,0,0
Acanthodactylus khamirensis,2,1206
Acanthodactylus lineomaculatus,2,868
Acanthodactylus longipes,2,687
Acanthodactylus maculatus,2,860
Acanthodactylus masirae,4,1688
Acanthodactylus micropholis,2,1233
Acanthodactylus nilsoni,2,1233
Acanthodactylus opheodurus,4,1686
Acanthodactylus orientalis,2,680
Acanthodactylus pardalis,2,859
Acanthodactylus robustus,0,0
Acanthodactylus savignyi,0,0
Acanthodactylus schmidti,4,1573
Acanthodactylus schreiberi,5,2723
Acanthodactylus scutellatus,5,2759
Acanthodactylus senegalensis,0,0
Acanthodactylus spinicauda,0,0
Acanthodactylus taghitensis,0,0
Acanthodactylus tilburyi,0,0
Acanthodactylus tristrami,2,679
Acanthodactylus yemenicus,0,0
Adolfus africanus,5,3110
Adolfus alleni,4,2407
Adolfus jacksoni,6,6217
Adolfus masavaensis,0,0
Algyroides fitzingeri,7,6669
Algyroides marchi,5,3639
Algyroides moreoticus,5,3632
Algyroides nigropunctatus,5,3633
Anatololacerta anatolica,4,2617
Anatololacerta budaki,0,0
Anatololacerta danfordi,5,3626
Anatololacerta pelasgiana,0,0
Apathya cappadocica,6,4285
Apathya yassujica,3,1374
Archaeolacerta bedriagae,7,6620
Atlantolacerta andreanskyi,10,8540
Australolacerta australis,9,7667
Congolacerta asukului,4,2864
Congolacerta vauereselli,6,5894
Dalmatolacerta oxycephala,5,3640
Darevskia alpina,2,2126
Darevskia armeniaca,1,990
Darevskia bendimahiensis,1,990
Darevskia bithynica,0,0
Darevskia brauneri,2,2129
Darevskia caspica,3,2076
Darevskia caucasica,2,2123
Darevskia chlorogaster,5,2776
Darevskia clarkorum,2,2118
Darevskia daghestanica,2,2118
Darevskia dahli,0,0
Darevskia defilippii,3,2076
Darevskia derjugini,3,2426
Darevskia dryada,0,0
Darevskia kamii,3,2076
Darevskia kopetdaghica,3,2076
Darevskia lindholmi,2,2127
Darevskia mixta,2,2122
Darevskia parvula,2,2119
Darevskia pontica,0,0
Darevskia portschinskii,2,2120
Darevskia praticola,3,2440
Darevskia raddei,2,2120
Darevskia rostombekovi,1,990
Darevskia rudis,3,2589
Darevskia sapphirina,1,990
Darevskia saxicola,3,2440
Darevskia schaekeli,3,2076
Darevskia steineri,3,2076
Darevskia unisexualis,1,990
Darevskia uzzelli,0,0
Darevskia valentini,6,5990
Dinarolacerta montenegrina,5,3638
Dinarolacerta mosorensis,5,3641
Eremias acutirostris,1,564
Eremias afghanistanica,0,0
Eremias andersoni,0,0
Eremias argus,7,7413
Eremias arguta,6,4395
Eremias aria,0,0
Eremias brenchleyi,7,7421
Eremias buechneri,0,0
Eremias cholistanica,0,0
Eremias fasciata,0,0
Eremias grammica,4,2508
Eremias intermedia,1,777
Eremias kavirensis,0,0
Eremias kokshaaliensis,0,0
Eremias lalezharica,3,3861
Eremias lineolata,0,0
Eremias montanus,2,1470
Eremias multiocellata,7,6025
Eremias nigrocellata,0,0
Eremias nikolskii,0,0
Eremias novo,0,0
Eremias papenfussi,0,0
Eremias persica,5,3355
Eremias pleskei,4,2545
Eremias przewalskii,7,6638
Eremias quadrifrons,0,0
Eremias regeli,0,0
Eremias scripta,2,1221
Eremias strauchi,2,962
Eremias stummeri,0,0
Eremias suphani,1,591
Eremias szczerbaki,0,0
Eremias velox,8,9751
Eremias vermiculata,7,6634
Eremias yarkandensis,0,0
Gastropholis echinata,0,0
Gastropholis prasina,4,2749
Gastropholis tropidopholis,0,0
Gastropholis vittata,4,2849
Heliobolus lugubris,9,6511
Heliobolus neumanni,0,0
Heliobolus nitidus,0,0
Heliobolus spekii,6,5990
Hellenolacerta graeca,6,4221
Holaspis guentheri,4,2431
Holaspis laevis,4,2815
Iberolacerta aranica,5,3257
Iberolacerta aurelioi,5,3256
Iberolacerta bonnali,5,3257
