Genus;Species;Subspecies;Family;Order ;Common_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species
Miniopterus;brachytragos;NA;Miniopteridae;Chiroptera;Short-tragus long-fingered bat;Miniopterus brachytragos;TRUE;FALSE;Extant;Endemic
Miniopterus;egeri;NA;Miniopteridae;Chiroptera;Eger's long-fingered bat;Miniopterus egeri;TRUE;FALSE;Extant;Endemic
Miniopterus;gleni;NA;Miniopteridae;Chiroptera;Glen's long-fingered bat;Miniopterus gleni;TRUE;TRUE;Extant;Endemic
Miniopterus;griffithsi;NA;Miniopteridae;Chiroptera;Griffith's long-fingered bat;Miniopterus griffithsi;TRUE;TRUE;Extant;Endemic
Miniopterus;griveaudi;NA;Miniopteridae;Chiroptera;Griveaud's long-fingered bat;Miniopterus griveaudi;TRUE;TRUE;Extant;Non-endemic
Miniopterus;mahafaliensis;NA;Miniopteridae;Chiroptera;Mahafaly long-fingered bat;Miniopterus mahafaliensis;TRUE;FALSE;Extant;Endemic
Miniopterus;majori;NA;Miniopteridae;Chiroptera;Major's long-fingered bat;Miniopterus majori;TRUE;TRUE;Extant;Endemic
Miniopterus;manavi;NA;Miniopteridae;Chiroptera;Manavi long-fingered bat;Miniopterus manavi;TRUE;TRUE;Extant;Non-endemic
Miniopterus;petersoni;NA;Miniopteridae;Chiroptera;Peterson's long-fingered bat;Miniopterus petersoni;TRUE;TRUE;Extant;Endemic
Miniopterus;sororculus;NA;Miniopteridae;Chiroptera;Small sister long-fingered bat;Miniopterus sororculus;TRUE;FALSE;Extant;Endemic
Mops;leucostigma;NA;Molossidae;Chiroptera;Malagasy large white-bellied free-tailed bat;Mops leucostigma;TRUE;TRUE;Extant;Non-endemic
Mops;midas;miarensis;Molossidae;Chiroptera;Midas' free-tailed bat;Mops midas;TRUE;TRUE;Extant;Non-endemic
Mormopterus;jugularis;NA;Molossidae;Chiroptera;Peters'  goblin bat;Mormopterus jugularis;TRUE;TRUE;Extant;Endemic
Myotis;goudoti;NA;Vespertilionidae;Chiroptera;Malagasy mouse-eared bat;Myotis goudoti;TRUE;TRUE;Extant;Endemic
Myzopoda;aurita;NA;Myzopodidae;Chiroptera;Eastern sucker-footed bat;Myzopoda aurita;TRUE;TRUE;Extant;Endemic
Myzopoda;schliemanni;NA;Myzopodidae;Chiroptera;Schliemann's sucker-footed bat;Myzopoda schliemanni;TRUE;TRUE;Extant;Endemic
Neoromicia;bemainty;NA;Vespertilionidae;Chiroptera;Dark Madagascar pipistrelle;Hypsugo bemainty;TRUE;TRUE;Extant;Endemic
Otomops;madagascariensis;NA;Molossidae;Chiroptera;Malagasy large-eared free-tailed bat;Otomops madagascariensis;TRUE;TRUE;Extant;Endemic
Paratriaenops;auritus;NA;Hipposideridae;Chiroptera;Golden trident bat;Paratriaenops auritus;TRUE;TRUE;Extant;Endemic
Paratriaenops;furculus;NA;Hipposideridae;Chiroptera;Trouessart's trident Bat;Paratriaenops furculus;TRUE;TRUE;Extant;Endemic
Paratriaenops;goodmani;NA;Hipposideridae;Chiroptera;NA;NA;FALSE;FALSE;Extinct;Endemic
Paremballonura;atrata;NA;Emballonuridae;Chiroptera;Peters' sheath-tailed bat;Emballonura atrata;TRUE;TRUE;Extant;Endemic
Paremballonura;tiavato;NA;Emballonuridae;Chiroptera;Rock-dwelling sheath-tailed bat;Emballonura tiavato;TRUE;TRUE;Extant;Endemic
Pipistrellus;hesperidus;NA;Vespertilionidae;Chiroptera;Dusky pipistrelle;Pipistrellus hesperidus;TRUE;TRUE;Extant;Non-endemic
Pipistrellus;raceyi;NA;Vespertilionidae;Chiroptera;Racey's pipistrelle;Pipistrellus raceyi;TRUE;FALSE;Extant;Endemic
Pteropus;rufus;NA;Pteropodidae;Chiroptera;Madagascar flying fox;Pteropus rufus;TRUE;TRUE;Extant;Endemic
Rousettus;madagascariensis;NA;Pteropodidae;Chiroptera;Madagascar rousette;Rousettus madagascariensis;TRUE;TRUE;Extant;Endemic
Scotophilus;marovaza;NA;Vespertilionidae;Chiroptera;Marovaza house bat;Scotophilus marovaza;TRUE;TRUE;Extant;Endemic
Scotophilus;robustus;NA;Vespertilionidae;Chiroptera;Malagasy large house bat;Scotophilus robustus;TRUE;TRUE;Extant;Endemic
Scotophilus;tandrefana;NA;Vespertilionidae;Chiroptera;Malagasy western house bat;Scotophilus tandrefana;TRUE;TRUE;Extant;Endemic
Tadarida;fulminans;NA;Molossidae;Chiroptera;Malagasy free-tailed bat;Tadarida fulminans;TRUE;TRUE;Extant;Non-endemic
Taphozous;mauritianus;NA;Emballonuridae;Chiroptera;Mauritian tomb bat;Taphozous mauritianus;TRUE;TRUE;Extant;Non-endemic
Triaenops;menamena;NA;Hipposideridae;Chiroptera;Rufous trident bat;Triaenops menamena;TRUE;TRUE;Extant;Endemic
Allocebus;trichotis;NA;Cheirogaleidae;Primates;Hairy-eared dwarf lemur;Allocebus trichotis;TRUE;TRUE;Extant;Endemic
Archaeoindris;fontoynontii;NA;Palaeopropithecidae;Primates;Sloth lemur;NA;FALSE;FALSE;Extinct;Endemic
Archaeolemur;edwardsi;NA;Archaeolemuridae;Primates;Monkey Lemur;Archaeolemur edwardsi;TRUE;FALSE;Extinct;Endemic
Archaeolemur;majori;NA;Archaeolemuridae;Primates;NA;Archaeolemur majori;TRUE;TRUE;Extinct;Endemic
Avahi;betsileo;NA;Indriidae;Primates;Betsileo woolly lemur;Avahi betsileo;TRUE;FALSE;Extant;Endemic
Avahi;cleesei;NA;Indriidae;Primates;Cleese's bemaraha woolly lemur;Avahi cleesei;TRUE;TRUE;Extant;Endemic
Avahi;laniger;NA;Indriidae;Primates;Eastern woolly lemur;Avahi laniger;TRUE;TRUE;Extant;Endemic
Avahi;meridionalis;NA;Indriidae;Primates;Southern woolly lemur;Avahi meridionalis;TRUE;FALSE;Extant;Endemic
Avahi;mooreorum;NA;Indriidae;Primates;Moore's Masoala woolly lemur ;Avahi mooreorum;TRUE;FALSE;Extant;Endemic
Avahi;occidentalis;NA;Indriidae;Primates;Lorenz Von Liburnau's western woolly lemur;Avahi occidentalis;TRUE;TRUE;Extant;Endemic
Avahi;peyrierasi;NA;Indriidae;Primates;Peyrieras' woolly lemur;Avahi peyrierasi;TRUE;FALSE;Extant;Endemic
